,true,dynamix,parrot
Lorenz,2.0782534774223205,2.048879333726119,2.070744093088028
Lorenz84,1.8478254293734615,1.7070982469728024,1.860416132595946
Lorenz96,2.3446193835500977,2.854762562788917,2.6946158583279822
LorenzBounded,2.0368310927228697,2.046855077595967,2.0101116506099235
LorenzCoupled,2.4592534871386063,3.1325668208513533,2.397348520315435
LorenzStenflo,2.190581478567633,2.8090060989431764,2.5885260318293666
LuChen,2.0756273845106845,2.06253087104221,2.1551578478823474
LuChenCheng,1.9680161693188643,1.8300510309742282,1.994916746615123
MacArthur,2.702548403879034,4.4069991845649765,3.192253362344128
MackeyGlass,2.0543758924583133,2.321637509019602,2.637171986518202
MooreSpiegel,2.0320391882551325,1.7226209575563551,1.8197429580370925
MultiChua,1.9428722480524874,2.3580867716514464,2.265028961995913
NewtonLiepnik,2.1302149499690333,2.0115674350782893,2.198134613464279
NoseHoover,2.1473257969171975,1.8708085668682601,2.135950897578167
NuclearQuadrupole,2.7093599963060004,2.3983330510456473,2.804855710503217
OscillatingFlow,2.417493375557764,2.3411898282592896,2.463536189980047
PanXuZhou,1.9537036370507828,1.6441054265592903,1.7415136898214565
PehlivanWei,2.274224272939434,2.2623195469886723,2.3308575907614815
PiecewiseCircuit,1.8857708768027863,2.9304089148175274,2.0483263813997636
Qi,2.156578166922635,2.821058623778412,2.839321316844114
QiChen,2.170583346965357,2.1320976082583343,2.229874159396177
RabinovichFabrikant,2.231901002780904,1.7583786810141857,2.5431459436726733
RayleighBenard,2.1420535924834896,2.0445228982658943,2.2354015405369054
RikitakeDynamo,1.9714875319451506,1.6738634262187657,2.2536805908997475
Rossler,2.074074493406113,2.1337149371901507,2.0665327013644483
Rucklidge,2.179224175462849,1.9212420873071872,2.397493303728136
Sakarya,2.213020963937118,2.2145140857362065,2.3988861433947375
SaltonSea,2.064560130285966,1.7947831773842966,2.364373405780102
SanUmSrisuchinwong,2.2586726680954134,2.1225031942166437,2.1400817751783747
ScrollDelay,2.0960702483970772,3.936288306778617,2.106577199923319
ShimizuMorioka,2.0228195399904143,1.7191314010990322,2.310406536954686
SprottA,1.986460137310465,1.7191307706081687,2.0661552178526943
SprottB,2.1448684053038978,1.9406947381522288,2.159440542901084
SprottC,2.1710526845719835,1.7039396337455615,2.070120673640977
SprottD,2.1879425424422445,1.8661978023043782,1.9648222632810661
SprottDelay,1.964860474432474,3.985635192905162,1.7524382833832943
SprottE,1.8580929612811565,1.8513255712838572,2.144880334848646
SprottF,2.0991735605967135,2.1673555011301877,2.1278463775511014
SprottH,2.1910153233812357,1.9933937192030158,2.202717823301975
SprottJ,1.9365692299355128,1.7907925336343236,2.0258511356381574
SprottK,1.918102697876982,1.6811045981156694,1.9254818723790899
SprottL,1.9492859598309171,1.9028972369452264,1.9692707797937314
SprottM,1.9746342743933503,1.9295253328466035,1.9814064373986806
SprottN,1.9269328855904875,1.8271718434717932,1.9040313986708943
SprottP,2.1306725427787963,1.851569029232945,2.1114308704032956
SprottR,1.9600085163630783,1.7009529556755547,1.9391451968190447
SprottS,2.2020706604731486,2.169257647398664,1.6719775029300452
SprottTorus,1.6963990535524598,1.7941831339705439,2.107138143499868
StickSlipOscillator,2.0754203328059706,1.8144286231955182,2.303468592404599
SwingingAtwood,2.276409292445878,1.0383233115687638,2.200969690079285
Thomas,1.751202317609025,1.6576290554477864,1.751052278500935
ThomasLabyrinth,2.558926741875738,2.4439831117009794,2.5572477929230666
Torus,2.4395814912684823,1.872701358405818,2.4697330930496566
Tsucs2,1.7763056239524628,1.6800639897865013,1.8089898175519223
TurchinHanski,2.151135209944406,1.9548090716749944,2.168716506212986
VallisElNino,2.1157340200868266,1.8531900255862166,2.1314315192742765
WangSun,2.079093520731176,1.963054210264728,2.400595467482032
WindmiReduced,1.8258954177517959,1.7221868287283013,2.1324571660477214
YuWang,2.1695779366910326,2.0043849952221713,2.5537692104750205
YuWang2,1.8659078868072445,1.712840743523047,1.8431040480549257
ZhouChen,1.9431519509401833,1.443353376220058,1.7485033444660398
